Team,Track,Prize,Medal,Sum,biotech,Bioinformatics,biomed(including neurobio),zoology,botany,"Miscellenous sciences(e.g. agriculture, environmental sci, ecology, general bio)",pharmacy/phamacology/pharmaceutical sciences ,chemistry,biochem,material science,Bioeng,chem eng,civil eng,mech eng,electrical&electronic eng(electronics),biomed eng,industrial eng,miscellenous eng (including technology),"C.S. (including informatics, software engineering, information sciences)",psychology,maths,applied maths,computational maths,theoretical physics,applied physics,physics,economics,management,design,art,art history,history,politics,"business(management, entrepreneurship, BA, communication, marketing)",science communication,architecture,education,sociology,music,linguistics,law,literature,cognitive science,Philosophy
Berlin,New Application,,G,14,2,0,1,0,,,,1,,,2,,,,,2,,2,1,,,,,,,1,,,0.5,0.5,,1,,,,,,,,,,,,
BGU_Israel,Health & Medicine,,N,9,,0,0,0,,1.5,,,,,3,,,,0.25,,0.5,,1.25,0.5,,,,,,0.5,0.5,0.5,,,,,0.5,,,,,,,,,,,
Bielefeld-CeBiTec,Energy,,G,9,5,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOSINT_Mexico,Environment,,B,10,,0,0,0,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordeaux,Manufacturing,,B,16,1,1,0,0,,6,,,,,7,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BostonU,Measurement,,G,3,,0,0,0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasil-SP,Health & Medicine,,B,22,6,0,0,0,,13,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Braunschweig,Environment,,G,12,6,0,0,0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British_Columbia,New Application,,B,17,1,0,3.5,0,,7,,,1,,1,1,,,,,,,1.5,,,,,,1,,,,,,,,,,,,,,,,,,,
Calgary,Health & Medicine,,G,18,,1,5,0,,6,,,1,,,3,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
Cambridge-JIC,New Application,,G,9,,0,1,0,,1,,,1,,1,,,,,,,1,,,1,,,,,3,,,,,,,,,,,,,,,,,,
Carnegie_Mellon,Environment,"Best Poster, Undergrad",G,6,,0,0,0,,2.5,,,,0.5,,,1,,0.5,0.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CityU_HK,Health & Medicine,,G,12,,0,0,0,,9,,,,,2,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concordia,Foundational Advance,,S,9,,0,0.5,0,,7.5,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
CSU_Fort_Collins,Manufacturing,,N,9,,0,0,0,,3,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburgh,Foundational Advance,,G,8,2,0,1,0,,2,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
ETH_Zurich,Information Processing,"Best Model, Overgrad",G,7,3,1,0.5,0,,0.5,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Exeter,Environment,,G,8,,0,0,0,,1,2,,2,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,
Freiburg,New Application,,G,19,1.75,0,3,0,,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
